currency,regime,share_ppp,share_uip,share_resid,cs_removable
AED,anchored,0.8747220363088787,0.11899995916948429,0.006278004521637029,0.9937219954783629
AUD,floating,0.06956663282798212,0.002009363910767559,0.9284240032612503,0.07157599673874968
BGN,anchored,0.4198399280584668,0.03870190090269671,0.5414581710388364,0.4585418289611635
CAD,floating,0.07471833265192097,0.00041465547119322365,0.9248670118768858,0.0751329881231142
CHF,anchored,0.000829330218588699,0.008020989142019026,0.9911496806393923,0.008850319360607725
DKK,anchored,0.13204775132095867,0.01840730837100947,0.8495449403080318,0.15045505969196815
GBP,floating,0.004793988724320956,0.04212861973981738,0.9530773915358617,0.046922608464138336
HKD,anchored,0.8309188986728415,0.15561051358029862,0.013470587746859858,0.9865294122531402
JPY,floating,0.010565076589386478,0.004391720791422088,0.9850432026191914,0.014956797380808566
KRW,floating,0.02697386646848783,0.0023983666121358983,0.9706277669193762,0.029372233080623728
MXN,floating,0.07533164562591321,0.019592988032758593,0.9050753663413282,0.0949246336586718
NOK,floating,0.051070078727249175,0.0011283882828074683,0.9478015329899433,0.05219846701005664
SAR,anchored,0.8570489617788446,0.1350607723644049,0.007890265856750511,0.9921097341432494
SEK,floating,0.018284135249388964,0.00015315227787834142,0.9815627124727326,0.018437287527267306
