currency,regime,fx_vol,infl_vol,excess_vol_ratio
AED,anchored,0.010291860894551686,0.011920629005489135,0.8633655900047351
AUD,floating,0.11050693201720332,0.022273693414481918,4.961320512086868
BGN,anchored,0.0179830828533631,0.014008661466660114,1.2837117162237022
CAD,floating,0.07350015699362106,0.01833110540641485,4.009586730536182
CHF,anchored,0.08400831979424095,0.008021493487297077,10.472902574474121
DKK,anchored,0.01843573861388809,0.009470161807367034,1.946718439335065
GBP,floating,0.09075620637673111,0.019233165696986913,4.718734700598408
HKD,anchored,0.008595092847616814,0.009486065717131363,0.906075617006796
JPY,floating,0.09995061281523654,0.014592622062951515,6.8493936445456365
KRW,floating,0.09762327336280768,0.028244813335764347,3.456325669505999
MXN,floating,0.12082243088001189,0.043193400540117506,2.7972428512034724
NOK,floating,0.10932894275934689,0.02292929178429985,4.768090693241848
SAR,anchored,0.009892398182400721,0.011424400185917637,0.8659008806952204
SEK,floating,0.09657110737662411,0.018472103062942075,5.227943296308304
