age,q_male,l_male,q_female,l_female,l_both
0,0.006015,100000,0.005125,100000,100000.0
1,0.000479,99399,0.000392,99487,99443.0
2,0.00032,99351,0.000229,99448,99399.5
3,0.000249,99319,0.000188,99426,99372.5
4,0.000194,99294,0.000155,99407,99350.5
5,0.000159,99275,0.000133,99392,99333.5
6,0.000137,99259,0.000115,99378,99318.5
7,0.000125,99246,0.000105,99367,99306.5
8,0.00012,99233,0.0001,99357,99295.0
9,0.00012,99221,9.8e-05,99347,99284.0
10,0.000125,99210,0.000101,99337,99273.5
11,0.00014,99197,0.000111,99327,99262.0
12,0.000173,99183,0.000126,99316,99249.5
13,0.000233,99166,0.000152,99303,99234.5
14,0.000327,99143,0.000188,99288,99215.5
15,0.000463,99111,0.000229,99270,99190.5
16,0.000634,99065,0.000273,99247,99156.0
17,0.000819,99002,0.000323,99220,99111.0
18,0.000999,98921,0.000372,99188,99054.5
19,0.001138,98822,0.00041,99151,98986.5
20,0.001235,98709,0.000441,99110,98909.5
21,0.001315,98588,0.000476,99066,98827.0
22,0.001378,98458,0.000513,99019,98738.5
23,0.001439,98322,0.000546,98968,98645.0
24,0.001509,98181,0.000582,98914,98547.5
25,0.001595,98033,0.000609,98857,98445.0
26,0.001685,97876,0.000641,98797,98336.5
27,0.001783,97711,0.000683,98733,98222.0
28,0.001876,97537,0.00074,98666,98101.5
29,0.00197,97354,0.000808,98593,97973.5
30,0.002085,97162,0.000878,98513,97837.5
31,0.002202,96960,0.000947,98427,97693.5
32,0.002308,96746,0.001018,98333,97539.5
33,0.002407,96523,0.001089,98233,97378.0
34,0.00249,96291,0.001154,98126,97208.5
35,0.002577,96051,0.001209,98013,97032.0
36,0.002665,95803,0.001263,97895,96849.0
37,0.002764,95548,0.001347,97771,96659.5
38,0.002864,95284,0.001438,97639,96461.5
39,0.002987,95011,0.001533,97499,96255.0
40,0.003115,94727,0.001643,97350,96038.5
41,0.003253,94432,0.001742,97190,95811.0
42,0.003419,94125,0.001845,97020,95572.5
43,0.0036,93803,0.001954,96841,95322.0
44,0.003777,93465,0.002075,96652,95058.5
45,0.003931,93112,0.002187,96452,94782.0
46,0.004073,92746,0.002306,96241,94493.5
47,0.004245,92369,0.002438,96019,94194.0
48,0.004477,91977,0.002595,95785,93881.0
49,0.004795,91565,0.002791,95536,93550.5
50,0.005126,91126,0.00303,95269,93197.5
51,0.005496,90659,0.003288,94981,92820.0
52,0.005917,90160,0.003554,94668,92414.0
53,0.006404,89627,0.003847,94332,91979.5
54,0.006923,89053,0.004172,93969,91511.0
55,0.007491,88436,0.004532,93577,91006.5
56,0.008173,87774,0.004923,93153,90463.5
57,0.008938,87056,0.005365,92694,89875.0
58,0.009714,86278,0.005815,92197,89237.5
59,0.010494,85440,0.006333,91661,88550.5
60,0.011337,84544,0.006923,91080,87812.0
61,0.012232,83585,0.007555,90450,87017.5
62,0.013196,82563,0.00822,89767,86165.0
63,0.014229,81473,0.008881,89029,85251.0
64,0.015316,80314,0.009514,88238,84276.0
65,0.016455,79084,0.010188,87399,83241.5
66,0.017574,77783,0.01088,86508,82145.5
67,0.018735,76416,0.011659,85567,80991.5
68,0.019981,74984,0.012543,84569,79776.5
69,0.021366,73486,0.013581,83509,78497.5
70,0.022903,71916,0.014769,82374,77145.0
71,0.024615,70269,0.016153,81158,75713.5
72,0.026504,68539,0.017705,79847,74193.0
73,0.028648,66722,0.019495,78433,72577.5
74,0.031071,64811,0.021533,76904,70857.5
75,0.033802,62797,0.023846,75248,69022.5
76,0.03701,60675,0.026458,73454,67064.5
77,0.041158,58429,0.0297,71510,64969.5
78,0.045461,56024,0.033135,69387,62705.5
79,0.050346,53477,0.036982,67087,60282.0
80,0.055633,50785,0.041183,64606,57695.5
81,0.061757,47960,0.045959,61946,54953.0
82,0.068358,44998,0.051282,59099,52048.5
83,0.07542,41922,0.057262,56068,48995.0
84,0.083364,38760,0.064107,52857,45808.5
85,0.09268,35529,0.071752,49469,42499.0
86,0.103459,32236,0.08049,45919,39077.5
87,0.115502,28901,0.090566,42223,35562.0
88,0.129018,25563,0.102204,38399,31981.0
89,0.14381,22265,0.115178,34475,28370.0
90,0.159458,19063,0.129176,30504,24783.5
91,0.176551,16023,0.144229,26564,21293.5
92,0.19536,13194,0.160353,22732,17963.0
93,0.216286,10617,0.177635,19087,14852.0
94,0.238799,8320,0.196502,15697,12008.5
95,0.262268,6333,0.216846,12612,9472.5
96,0.286291,4672,0.23875,9877,7274.5
97,0.310944,3335,0.261359,7519,5427.0
98,0.332325,2298,0.283899,5554,3926.0
99,0.349036,1534,0.306491,3977,2755.5
100,0.366568,999,0.32968,2758,1878.5
101,0.38496,633,0.353333,1849,1241.0
102,0.404252,389,0.3773,1196,792.5
103,0.424488,232,0.401416,745,488.5
104,0.445712,133,0.425501,446,289.5
105,0.467998,74,0.451031,256,165.0
106,0.491398,39,0.478092,141,90.0
107,0.515968,20,0.506778,73,46.5
108,0.541766,10,0.537185,36,23.0
109,0.568854,4,0.568854,17,10.5
110,0.597297,2,0.597297,7,4.5
111,0.627162,1,0.627162,3,2.0
112,0.65852,0,0.65852,1,0.5
113,0.691446,0,0.691446,0,0.0
114,0.726018,0,0.726018,0,0.0
115,0.762319,0,0.762319,0,0.0
116,0.800435,0,0.800435,0,0.0
117,0.840457,0,0.840457,0,0.0
118,0.88248,0,0.88248,0,0.0
119,0.926604,0,0.926604,0,0.0
