year,m2_billions_usd,gdp_nominal_billions_usd,real_gdp_growth_pct,population_millions,cpi_u_index_1982_84_eq_100,cpi_decdec_pct,sp500_nominal_total_return_pct,sp500_real_total_return_pct
1960,312.4,543.3,2.57,180.7,29.6,1.46,0.34,-1.1039
1961,335.5,563.3,2.31,183.7,29.9,1.07,26.64,25.2993
1962,362.7,605.1,6.10,186.5,30.2,1.20,-8.81,-9.8913
1963,393.2,638.6,4.40,189.2,30.6,1.24,22.61,21.1083
1964,424.7,685.8,5.80,191.9,31.0,1.28,16.42,14.9487
1965,459.2,743.7,6.49,194.3,31.5,1.59,12.40,10.6408
1966,480.0,815.0,6.59,196.6,32.4,2.86,-9.97,-12.4733
1967,524.3,861.7,2.46,198.7,33.4,3.09,23.80,20.0892
1968,566.3,942.5,4.85,200.7,34.8,4.19,10.81,6.3538
1969,589.6,1019.9,3.09,202.7,36.7,5.46,-8.24,-12.9907
1970,628.1,1075.9,0.17,205.1,38.8,5.72,3.56,-2.0431
1971,712.7,1167.8,3.28,207.7,40.5,4.38,14.22,9.4271
1972,805.2,1282.4,5.27,209.9,41.8,3.21,18.76,15.0664
1973,861.0,1428.5,5.65,211.9,44.4,6.16,-14.31,-19.2822
1974,908.5,1548.8,-0.54,213.9,49.3,11.03,-25.90,-33.2613
1975,1023.2,1688.9,-0.21,216.0,53.8,9.14,37.00,25.5268
1976,1163.7,1877.6,5.39,218.0,56.9,5.76,23.83,17.0859
1977,1286.7,2086.0,4.62,220.2,60.6,6.50,-6.98,-12.6573
1978,1389.0,2356.6,5.56,222.6,65.2,7.62,6.51,-1.0314
1979,1500.2,2632.1,3.17,225.1,72.6,11.22,18.52,6.5636
1980,1604.8,2862.5,-0.26,227.2,82.4,13.58,31.74,15.9887
1981,1760.3,3211.0,2.55,229.5,90.9,10.35,-4.70,-13.6384
1982,1913.8,3345.0,-1.92,231.7,96.5,6.16,20.42,13.4326
1983,2134.0,3638.1,4.63,233.8,99.6,3.22,22.34,18.5235
1984,2318.5,4040.7,7.24,235.8,103.9,4.30,6.15,1.7737
1985,2504.1,4346.7,4.17,237.9,107.6,3.56,31.24,26.7285
1986,2740.7,4590.2,3.46,240.1,109.6,1.86,18.49,16.3263
1987,2838.3,4870.2,3.46,242.3,113.6,3.65,5.81,2.0839
1988,3000.6,5252.6,4.18,244.5,118.3,4.14,16.54,11.9070
1989,3165.6,5657.7,3.68,246.8,124.0,4.82,31.48,25.4341
1990,3285.1,5979.6,1.88,249.6,130.7,5.40,-3.06,-8.0266
1991,3386.4,6174.0,-0.11,252.9,136.2,4.21,30.23,24.9688
1992,3441.3,6539.3,3.56,256.5,140.3,3.01,7.49,4.3491
1993,3495.1,6878.7,2.74,259.9,144.5,2.99,9.97,6.7774
1994,3507.8,7308.8,4.04,263.1,148.2,2.56,1.33,-1.1993
1995,3653.3,7664.1,2.72,266.3,152.4,2.83,37.20,33.4241
1996,3839.8,8100.2,3.80,269.4,156.9,2.95,22.68,19.1646
1997,4055.1,8608.5,4.49,272.6,160.5,2.29,33.10,30.1202
1998,4399.6,9089.2,4.45,275.9,163.0,1.56,28.34,26.3686
1999,4664.5,9660.6,4.74,279.0,166.6,2.21,20.89,18.2761
2000,4953.0,10250.9,4.09,282.2,172.2,3.36,-9.03,-11.9872
2001,5465.0,10581.9,0.97,285.0,177.1,2.85,-11.85,-14.2927
2002,5804.0,10929.1,1.75,287.6,179.9,1.58,-21.97,-23.1837
2003,6098.6,11456.5,2.85,290.1,184.0,2.28,28.36,25.4986
2004,6447.4,12217.2,3.90,292.8,188.9,2.66,10.74,7.8706
2005,6691.2,13039.2,3.33,295.5,195.3,3.39,4.83,1.3928
2006,7081.0,13815.6,2.86,298.4,201.6,3.24,15.61,11.9818
2007,7472.7,14474.2,1.99,301.2,207.3,2.85,5.48,2.5571
2008,8190.5,14769.9,-0.14,304.1,215.3,3.84,-36.55,-38.8964
2009,8492.7,14478.1,-2.60,306.8,214.5,-0.36,25.94,26.3950
2010,8800.4,15048.9,2.71,309.3,218.1,1.64,14.82,12.9673
2011,9648.3,15599.7,1.55,311.6,224.9,3.16,2.10,-1.0275
2012,10463.9,16254.0,2.25,313.9,229.6,2.07,15.89,13.5397
2013,10999.4,16843.2,1.84,316.1,233.0,1.46,32.15,30.2484
2014,11671.7,17550.7,2.53,318.4,236.7,1.62,13.52,11.7103
2015,12343.8,18206.0,3.08,320.7,237.0,0.12,1.38,1.2585
2016,13211.4,18695.1,1.71,323.1,240.0,1.26,11.77,10.3792
2017,13855.0,19479.6,2.33,325.1,245.1,2.13,21.61,19.0737
2018,14373.6,20527.2,2.99,326.7,251.1,2.44,-4.23,-6.5111
2019,15315.0,21372.6,2.29,328.2,255.7,1.81,31.21,28.8773
2020,19105.8,21060.5,-2.77,329.5,258.8,1.23,18.02,16.5860
2021,21551.2,23315.1,5.95,332.1,271.0,4.70,28.47,22.7030
2022,21487.5,25744.1,1.99,333.3,292.7,8.00,-18.04,-24.1111
2023,20860.9,27360.9,2.54,334.5,304.7,4.12,26.06,21.0718
2024,21494.9,29016.7,2.82,336.0,313.9,2.90,24.88,21.3605
2025,22442.1,30700.0,2.00,342.0,320.9,2.70,17.78,14.6835
